JPASSOCIAT,0.3992289439545801
GMRINFRA,0.20366830531906946
ASHOKLEY,0.5005167081751792
SUZLON,0.45335210067692133
IBREALEST,0.44960318325653065
RELCAPITAL,0.47435310813266524
ADANIENT,0.36550101098628296
DLF,0.4819268172619338
IDFC,0.4657837435908549
SOUTHBANK,0.4835140281397654
VEDL,0.47214053977939924
SAIL,0.5110202547397015
IDFCBANK,0.5536164495691187
FEDERALBNK,0.5111530482749943
BANKBARODA,0.5147975539592005
MANAPPURAM,0.4891458426847559
HINDALCO,0.43419235419586866
TATASTEEL,0.46306150715899874
SBIN,0.5076487705230922
JINDALSTEL,0.5166749607692845
RCOM,0.5541265100268588
HDIL,0.5389234728069726
L&TFH,0.5098692526331559
TATAMOTORS,0.5242342229807635
NMDC,0.4986122303180428
ADANIPOWER,0.5163249529962602
HCC,0.4340752025452277
INDIACEM,0.528550023412578
ICICIBANK,0.47727181970180754
SUNTV,0.5346542964937402
RELINFRA,0.4992993428411315
PNB,0.5124705400305251
JSWSTEEL,0.29947556771692363
APOLLOTYRE,0.45994661473432297
MOTHERSUMI,0.4843211823065365
TATAGLOBAL,0.5254559638731533
RECLTD,0.4728652587629215
ONGC,0.41371355046281033
RPOWER,0.5101423715858289
IDEA,0.5586373580736956
JSWENERGY,0.4095496188099871
IFCI,0.40050233678908154
DHFL,0.5108942284022897
TV18BRDCST,0.4967567779023153
CANBK,0.5150452564132436
BANKINDIA,0.5773600327476613
ORIENTBANK,0.5070102948871744
PFC,0.47209463718666433
EXIDEIND,0.44549990800166905
NCC,0.45694856387738775
KTKBANK,0.5074174036464997
BHARATFIN,0.5027002862965267
M&MFIN,0.5193339780499553
GRASIM,0.2295581990377159
NATIONALUM,0.4727439703218904
AXISBANK,0.4524896554891747
UNIONBANK,0.5345285876240279
AUROPHARMA,0.5061450581122304
INFIBEAM,0.3962172325414489
BEL,0.495137656032144
ESCORTS,0.547668580317991
FORTIS,0.46446213175060197
ALBK,0.5665951872361942
HINDPETRO,0.45165890444325096
MRPL,0.42673723485731424
IDBI,0.5364373896047098
TATAPOWER,0.4529801799684933
PTC,0.521506186976716
NHPC,0.47558715805589474
NTPC,0.43587083328357584
SUNPHARMA,0.5531040676187133
IOC,0.4626238461249625
BPCL,0.4712052558733177
INFY,0.44393437333139507
RELIANCE,0.5748048287652617
DISHTV,0.5126262963771135
JUSTDIAL,0.36523378708236515
ITC,0.487871470709119
BHEL,0.5111138371745584
SYNDIBANK,0.5760742937552648
TATAMTRDVR,0.5080141354703142
HINDZINC,0.49844031273816963
CESC,0.5004857396231985
GAIL,0.48774642101388727
JISLJALEQS,0.4825108812006612
COALINDIA,0.4521577074354168
PCJEWELLER,0.4866509435795218
ANDHRABANK,0.5899695020228151
CGPOWER,0.5009288331342971
POWERGRID,0.42700755033244897
GSFC,0.4954622012326008
AMBUJACEM,0.4487672372873945
ADANIPORTS,0.4551979397679476
SREINFRA,0.4926791598104257
EQUITAS,0.506899753868501
IRB,0.488337545729178
DCBBANK,0.45448569172212366
YESBANK,0.5682834257254408
LICHSGFIN,0.5149885644958991
VOLTAS,0.5055975314972713
TVSMOTOR,0.4143471791331863
RDEL,0.4803944746732594
KOTAKBANK,0.40330443017676904
SRTRANSFIN,0.44367434504461395
UJJIVAN,0.5580628687135929
WIPRO,0.5323055283303605
PETRONET,0.5033139548113418
BALRAMCHIN,0.4221831048691869
BHARTIARTL,0.41952128252864856
HDFCBANK,0.4562535178566263
RNAVAL,nan
